"uid","namedLocation","domainID","siteID","plotID","plotType","pointID","startDate","boutNumber","eventID","pointCountMinute","targetTaxaPresent","taxonID","scientificName","taxonRank","vernacularName","family","nativeStatusCode","observerDistance","detectionMethod","visualConfirmation","sexOrAge","clusterSize","clusterCode","identifiedBy","identificationHistoryID"
"3e179724-c412-43a9-8e98-64cda54bb67d","BART_082.birdGrid.brd","D01","BART","BART_082","distributed",7,"2015-06-16T09:33Z",1,"BRD.BART.2015.1",1,"Y","OVEN","Seiurus aurocapilla","species","Ovenbird","Parulidae","N",37,"singing","No","Male",1,"","JRUEB",NA
"70ff4e44-04df-4a8d-bdf9-f3cab4811669","BART_082.birdGrid.brd","D01","BART","BART_082","distributed",7,"2015-06-16T09:33Z",1,"BRD.BART.2015.1",1,"Y","VEER","Catharus fuscescens","species","Veery","Turdidae","N",60,"singing","No","Male",1,"","JRUEB",NA
"5b718dc0-d9eb-4aa6-880c-15731d8c62d6","BART_082.birdGrid.brd","D01","BART","BART_082","distributed",4,"2015-06-16T09:45Z",1,"BRD.BART.2015.1",1,"Y","REVI","Vireo olivaceus","species","Red-eyed Vireo","Vireonidae","N",46,"singing","No","Male",1,"","JRUEB",NA
"4c606110-05f7-4e59-897a-cacf94e1b374","BART_082.birdGrid.brd","D01","BART","BART_082","distributed",4,"2015-06-16T09:45Z",1,"BRD.BART.2015.1",1,"Y","BTNW","Setophaga virens","species","Black-throated Green Warbler","Parulidae","N",29,"singing","No","Male",1,"","JRUEB",NA
"147b23dc-f6ea-4b52-8ca7-ba7cb1ce694a","BART_082.birdGrid.brd","D01","BART","BART_082","distributed",4,"2015-06-16T09:45Z",1,"BRD.BART.2015.1",1,"Y","HETH","Catharus guttatus","species","Hermit Thrush","Turdidae","N",48,"singing","No","Male",1,"","JRUEB",NA
"1e496a75-e2aa-47b4-b913-9f99dd3bc8d3","BART_082.birdGrid.brd","D01","BART","BART_082","distributed",4,"2015-06-16T09:45Z",1,"BRD.BART.2015.1",1,"Y","OVEN","Seiurus aurocapilla","species","Ovenbird","Parulidae","N",54,"singing","No","Male",1,"","JRUEB",NA
"12cb6aae-8953-4701-ac5e-4c73dd14f8bb","BART_082.birdGrid.brd","D01","BART","BART_082","distributed",4,"2015-06-16T09:45Z",1,"BRD.BART.2015.1",2,"Y","YRWA","Setophaga coronata","species","Yellow-rumped Warbler","Parulidae","N",17,"singing","No","Male",1,"","JRUEB",NA
"79c0dca3-0f35-427a-aef7-42624cfb3b8c","BART_082.birdGrid.brd","D01","BART","BART_082","distributed",4,"2015-06-16T09:45Z",1,"BRD.BART.2015.1",1,"Y","WIWR","Troglodytes hiemalis","species","Winter Wren","Troglodytidae","UNK",34,"singing","No","Male",1,"","JRUEB",NA
"da580ae3-8ef5-4a9f-96b6-2435f12ec796","BART_082.birdGrid.brd","D01","BART","BART_082","distributed",1,"2015-06-16T09:58Z",1,"BRD.BART.2015.1",1,"Y","UNBI","Aves sp.","class","","","N",21,"calling","No","Unknown",1,"","JRUEB",NA
"2d40ed0a-23bf-44f8-bd60-62aee25d7988","BART_082.birdGrid.brd","D01","BART","BART_082","distributed",1,"2015-06-16T09:58Z",1,"BRD.BART.2015.1",3,"Y","HOWR","Troglodytes aedon","species","House Wren","Troglodytidae","N",32,"singing","No","Male",1,"","JRUEB",NA
"892a3be8-deec-47a8-a60e-29424c216ba1","BART_082.birdGrid.brd","D01","BART","BART_082","distributed",1,"2015-06-16T09:58Z",1,"BRD.BART.2015.1",1,"Y","BTBW","Setophaga caerulescens","species","Black-throated Blue Warbler","Parulidae","N",54,"singing","No","Male",1,"","JRUEB",NA
